Crop,Days from Sowing (Start),Stage,Disease
Cotton,10,Germination,Cotton Leaf Curl Virus
Cotton,10,Germination,Fusarium Wilt
Cotton,7,Seedling Stage,Cotton Leaf Curl Virus
Cotton,7,Seedling Stage,Fusarium Wilt
Cotton,90,Boll Development,Root Rot
Cotton,7,Seedling Stage,Alternaria Leaf Spot
Cotton,90,Boll Development,Verticillium Wilt
Cotton,10,Germination,Bacterial Blight
Cotton,70,Flowering,Anthracnose
Cotton,70,Flowering,Verticillium Wilt
Cotton,70,Flowering,Root Rot
Cotton,70,Flowering,Cotton Leaf Curl Virus
Cotton,90,Boll Development,Cotton Leaf Curl Virus
Cotton,90,Boll Development,Anthracnose
Cotton,70,Flowering,Root Rot
Cotton,70,Flowering,Grey Mildew
Cotton,10,Germination,Boll Rot
Cotton,90,Boll Development,Bacterial Blight
Cotton,70,Flowering,Boll Rot
Cotton,10,Germination,Grey Mildew
Cotton,90,Boll Development,Alternaria Leaf Spot
Cotton,70,Flowering,Alternaria Leaf Spot
Cotton,10,Germination,Verticillium Wilt
Cotton,7,Seedling Stage,Bacterial Blight
Cotton,7,Seedling Stage,Root Rot
Cotton,90,Boll Development,Grey Mildew
Cotton,70,Flowering,Alternaria Leaf Spot
Cotton,70,Flowering,Bacterial Blight
Cotton,70,Flowering,Grey Mildew
Cotton,70,Flowering,Boll Rot
Cotton,7,Seedling Stage,Anthracnose
Cotton,7,Seedling Stage,Grey Mildew
Cotton,70,Flowering,Fusarium Wilt
Cotton,7,Seedling Stage,Verticillium Wilt
Cotton,70,Flowering,Fusarium Wilt
Cotton,10,Germination,Alternaria Leaf Spot
Cotton,7,Seedling Stage,Boll Rot
Cotton,70,Flowering,Bacterial Blight
Cotton,70,Flowering,Cotton Leaf Curl Virus
Cotton,70,Flowering,Verticillium Wilt
Cotton,10,Germination,Root Rot
Cotton,10,Germination,Anthracnose
Cotton,90,Boll Development,Fusarium Wilt
Corn,0,Sowing,Seed rot (Pythium aphanidermatum)
Corn,0,Sowing,Damping-off (Rhizoctonia solani)
Corn,0,Sowing,Seedling blight (Fusarium verticillioides)
Corn,0,Sowing,Bacterial rot (Pantoea stewartii)
Corn,0,Sowing,Downy mildew (Peronosclerospora sorghi)
Corn,0,Sowing,Aspergillus seed decay (Aspergillus niger)
Corn,0,Sowing,Penicillium seed mould (Penicillium spp.)
Corn,0,Sowing,Phytophthora root rot (Phytophthora cinnamomi)
Corn,0,Sowing,Seedling wilt (Macrophomina phaseolina)
Corn,0,Sowing,Seed-borne anthracnose (Colletotrichum graminicola)
Corn,0,Sowing,Early leaf spot (Bipolaris maydis)
Corn,0,Sowing,Alternaria seedling blight (Alternaria alternata)
Corn,0,Sowing,Diplodia seed rot (Stenocarpella maydis)
Corn,0,Sowing,Common smut infection (Ustilago maydis)
Corn,0,Sowing,Bacterial leaf streak (Xanthomonas vasicola)
Corn,0,Sowing,Ear rot early infection (Gibberella zeae)
Corn,0,Sowing,Nigrospora seed mould (Nigrospora oryzae)
Corn,0,Sowing,Curvularia seedling blight (Curvularia lunata)
Corn,0,Sowing,Helminthosporium seed rot (Helminthosporium turcicum)
Corn,0,Sowing,Cercospora early infection (Cercospora zeina)
Corn,10,Germination,Damping-off (Pythium ultimum)
Corn,10,Germination,Root rot (Fusarium oxysporum)
Corn,10,Germination,Seedling root blight (Rhizoctonia bataticola)
Corn,10,Germination,Early downy mildew (Peronosclerospora philippinensis)
Corn,10,Germination,Brown stripe downy mildew (Sclerophthora rayssiae)
Corn,10,Germination,Early bacterial wilt (Erwinia chrysanthemi)
Corn,10,Germination,Fusarium stalk rot (early infection) (Fusarium graminearum)
Corn,10,Germination,Seedling anthracnose (Colletotrichum sublineola)
Corn,10,Germination,Root necrosis (Phoma terrestris)
Corn,10,Germination,Early Helminthosporium infection (Exserohilum turcicum)
Corn,10,Germination,Purple seedling syndrome (Fusarium proliferatum)
Corn,10,Germination,Seedling mosaic (early infection) (Maize dwarf mosaic virus)
Corn,10,Germination,Seedling chlorotic mottle (Maize chlorotic mottle virus)
Corn,10,Germination,Early common rust infection (Puccinia sorghi)
Corn,10,Germination,Aspergillus crown rot (Aspergillus flavus)
Corn,10,Germination,Early leaf sheath blight (Thanatephorus cucumeris)
Corn,10,Germination,Curvularia root rot (Curvularia geniculata)
Corn,10,Germination,Phytophthora damping infection (Phytophthora capsici)
Corn,10,Germination,Bacterial seedling streak (Pseudomonas syringae)
Corn,10,Germination,Diplodia early root rot (Stenocarpella macrospora)
Corn,20,Vegetative Stage,Northern corn leaf blight (Exserohilum turcicum)
Corn,20,Vegetative Stage,Southern corn leaf blight (Bipolaris maydis)
Corn,20,Vegetative Stage,Downy mildew (Peronosclerospora sorghi)
Corn,20,Vegetative Stage,Common rust (Puccinia sorghi)
Corn,20,Vegetative Stage,Gray leaf spot (Cercospora zeae-maydis)
Corn,20,Vegetative Stage,Anthracnose leaf blight (Colletotrichum graminicola)
Corn,20,Vegetative Stage,Maize streak virus (MSV)
Corn,20,Vegetative Stage,Maize dwarf mosaic virus (MDMV)
Corn,20,Vegetative Stage,Bacterial leaf streak (Xanthomonas vasicola)
Corn,20,Vegetative Stage,Stewarts wilt (Pantoea stewartii)
Corn,20,Vegetative Stage,Curvularia leaf spot (Curvularia lunata)
Corn,20,Vegetative Stage,Banded leaf and sheath blight (Rhizoctonia solani)
Corn,20,Vegetative Stage,Pythium root rot (Pythium arrhenomanes)
Corn,20,Vegetative Stage,Fusarium root rot (Fusarium graminearum)
Corn,20,Vegetative Stage,Leaf blight (Phyllosticta spp.)
Corn,20,Vegetative Stage,Diplodia leaf streak (Stenocarpella maydis)
Corn,20,Vegetative Stage,Aspergillus leaf spot (Aspergillus niger)
Corn,20,Vegetative Stage,Maize chlorotic mottle virus (MCMV)
Corn,20,Vegetative Stage,Early stalk rot (Fusarium spp.)
Corn,20,Vegetative Stage,Phytophthora wilt (Phytophthora spp.)
Corn,70,Flowering,Common rust (Puccinia sorghi)
Corn,70,Flowering,Southern rust (Puccinia polysora)
Corn,70,Flowering,Northern corn leaf blight (Exserohilum turcicum)
Corn,70,Flowering,Gray leaf spot (Cercospora zeae-maydis)
Corn,70,Flowering,Anthracnose stalk rot (Colletotrichum graminicola)
Corn,70,Flowering,Fusarium ear rot (Fusarium verticillioides)
Corn,70,Flowering,Aspergillus ear rot (Aspergillus flavus)
Corn,70,Flowering,Diplodia ear rot (Stenocarpella maydis)
Corn,70,Flowering,Gibberella ear rot (Fusarium graminearum)
Corn,70,Flowering,Maize streak virus (MSV)
Corn,70,Flowering,Maize dwarf mosaic virus (MDMV)
Corn,70,Flowering,Bacterial stalk rot (Dickeya zeae)
Corn,70,Flowering,Stewarts wilt (Pantoea stewartii)
Corn,70,Flowering,Pythium stalk rot (Pythium spp.)
Corn,70,Flowering,Rhizoctonia ear rot (Rhizoctonia solani)
Corn,70,Flowering,Maize chlorotic mottle virus (MCMV)
Corn,70,Flowering,Charcoal rot (Macrophomina phaseolina)
Corn,70,Flowering,Banded leaf and sheath blight (Rhizoctonia solani)
Corn,70,Flowering,Southern leaf blight (Bipolaris maydis)
Corn,70,Flowering,Tip blight (Fusarium spp.)
Corn,85,Fruiting,Gibberella ear rot (Fusarium graminearum)
Corn,85,Fruiting,Aspergillus ear rot (Aspergillus flavus)
Corn,85,Fruiting,Fusarium ear rot (Fusarium verticillioides)
Corn,85,Fruiting,Diplodia ear rot (Stenocarpella maydis)
Corn,85,Fruiting,Penicillium ear rot (Penicillium spp.)
Corn,85,Fruiting,Trichoderma ear rot (Trichoderma spp.)
Corn,85,Fruiting,Bacterial ear rot (Erwinia spp.)
Corn,85,Fruiting,Black kernel rot (Diplodia macrospora)
Corn,85,Fruiting,Charcoal rot (Macrophomina phaseolina)
Corn,85,Fruiting,Late wilt (Harpophora maydis)
Corn,85,Fruiting,Maize smut (Ustilago maydis)
Corn,85,Fruiting,Maize rough dwarf virus (MRDV)
Corn,85,Fruiting,Maize lethal necrosis (MLN)
Corn,85,Fruiting,Banded leaf and sheath blight (Rhizoctonia solani)
Corn,85,Fruiting,Southern rust (Puccinia polysora)
Corn,85,Fruiting,Northern leaf blight (Exserohilum turcicum)
Corn,85,Fruiting,Gray leaf spot (Cercospora zeae-maydis)
Corn,85,Fruiting,Kernel smut (Tilletia spp.)
Corn,85,Fruiting,Stalk rot (Fusarium spp. / Pythium spp.)
Corn,85,Fruiting,Tip blight (Aspergillus or Fusarium spp.)
Corn,110,Maturity,Fusarium stalk rot (Fusarium spp.)
Corn,110,Maturity,Gibberella stalk rot (Fusarium graminearum)
Corn,110,Maturity,Charcoal rot (Macrophomina phaseolina)
Corn,110,Maturity,Diplodia stalk rot (Stenocarpella maydis)
Corn,110,Maturity,Anthracnose stalk rot (Colletotrichum graminicola)
Corn,110,Maturity,Late wilt (Harpophora maydis)
Corn,110,Maturity,Maize smut (Ustilago maydis)
Corn,110,Maturity,Aspergillus ear rot (Aspergillus flavus)
Corn,110,Maturity,Fusarium ear rot (Fusarium verticillioides)
Corn,110,Maturity,Diplodia ear rot (Stenocarpella maydis)
Corn,110,Maturity,Penicillium ear rot (Penicillium spp.)
Corn,110,Maturity,Black kernel rot (Diplodia macrospora)
Corn,110,Maturity,Kernel smut (Tilletia spp.)
Corn,110,Maturity,Banded leaf and sheath blight (Rhizoctonia solani)
Corn,110,Maturity,Maize chlorotic mottle virus (MCMV)
Corn,110,Maturity,Maize rough dwarf virus (MRDV)
Corn,110,Maturity,Bacterial stalk rot (Dickeya zeae)
Corn,110,Maturity,Pythium stalk rot (Pythium spp.)
Corn,110,Maturity,Phytophthora stalk rot (Phytophthora spp.)
Corn,110,Maturity,Ear tip dieback (Fusarium / Aspergillus spp.)
Corn,120,Harvest,Kernel rot (Fusarium spp.)
Corn,120,Harvest,Ear mold (Aspergillus/Penicillium spp.)
Corn,120,Harvest,Fusarium ear rot (Fusarium verticillioides)
Corn,120,Harvest,Aspergillus ear rot (Aspergillus flavus)
Corn,120,Harvest,Gibberella ear rot (Fusarium graminearum)
Corn,120,Harvest,Diplodia ear rot (Stenocarpella maydis)
Corn,120,Harvest,Penicillium ear rot (Penicillium spp.)
Corn,120,Harvest,Bacterial kernel rot (Pantoea/Erwinia spp.)
Corn,120,Harvest,Black kernel rot (Diplodia macrospora)
Corn,120,Harvest,Kernel smut (Tilletia spp.)
Corn,120,Harvest,Storage mold (pre-harvest) (Aspergillus spp.)
Corn,120,Harvest,Harvest maturity mold (Rhizopus spp.)
Corn,120,Harvest,Smut gall persistence (Ustilago maydis)
Corn,120,Harvest,Cob rot (Fusarium spp.)
Corn,120,Harvest,Cob blight (Stenocarpella macrospora)
Corn,120,Harvest,Maize weevil damage (Sitophilus zeamais)
Corn,120,Harvest,Grain moth infestation (Sitotroga cerealella)
Corn,120,Harvest,Aflatoxin contamination (Aspergillus flavus)
Corn,120,Harvest,Charcoal rot (late form) (Macrophomina phaseolina)
Corn,120,Harvest,Maize lethal necrosis (late symptom)
Corn,120,Harvest,Aspergillus storage rot (Aspergillus flavus)
Corn,120,Harvest,Penicillium storage mold (Penicillium spp.)
Corn,120,Harvest,Fusarium storage rot (Fusarium verticillioides)
Corn,120,Harvest,Rhizopus rot (Rhizopus stolonifer)
Corn,120,Harvest,Mucor grain rot (Mucor spp.)
Corn,120,Harvest,Bacterial soft rot (Erwinia spp.)
Corn,120,Harvest,Aflatoxin contamination (Aspergillus flavus)
Corn,120,Harvest,Ochratoxin contamination (Aspergillus ochraceus)
Corn,120,Harvest,Maize weevil infestation (Sitophilus zeamais)
Corn,120,Harvest,Grain borer attack (Prostephanus truncatus)
Corn,120,Harvest,Indian meal moth (Plodia interpunctella)
Corn,120,Harvest,Saw-toothed grain beetle (Oryzaephilus surinamensis)
Corn,120,Harvest,Khapra beetle (Trogoderma granarium)
Corn,120,Harvest,Stored grain mite infestation (Acarus siro)
Corn,120,Harvest,Secondary mold infestation (Trichoderma spp.)
Corn,120,Harvest,Black mold (Cladosporium spp.)
Corn,120,Harvest,Red grain mold (Neurospora spp.)
Corn,120,Harvest,Thermophilic fungal spoilage (Aspergillus fumigatus)
Corn,120,Harvest,Improper drying mold (Alternaria spp.)
Corn,120,Harvest,Moisture-induced spoilage (Mixed fungi complex)
Cotton,0,Sowing,Seed rot (Rhizoctonia solani)
Cotton,0,Sowing,Pythium seed rot (Pythium spp.)
Cotton,0,Sowing,Fusarium seed rot (Fusarium oxysporum)
Cotton,0,Sowing,Aspergillus seed rot (Aspergillus flavus)
Cotton,0,Sowing,Penicillium seed mold (Penicillium spp.)
Cotton,0,Sowing,Alternaria seed rot (Alternaria alternata)
Cotton,0,Sowing,Bacterial seed rot (Xanthomonas citri pv. malvacearum)
Cotton,0,Sowing,Damping-off (Rhizoctonia solani)
Cotton,0,Sowing,Damping-off (Pythium aphanidermatum)
Cotton,0,Sowing,Damping-off (Phytophthora spp.)
Cotton,0,Sowing,Seedling wilt (Fusarium oxysporum f.sp. vasinfectum)
Cotton,0,Sowing,Black seed mold (Cladosporium spp.)
Cotton,0,Sowing,Curvularia seed rot (Curvularia lunata)
Cotton,0,Sowing,Storage mold on seed (Mucor spp.)
Cotton,0,Sowing,Seed-borne anthracnose (Colletotrichum gossypii)
Cotton,0,Sowing,Seedling blight (Botrytis cinerea)
Cotton,0,Sowing,Insect seed damage (Seed weevils)
Cotton,0,Sowing,Seed hollowing (Stored grain beetles)
Cotton,0,Sowing,Nematode-infested seeds (Meloidogyne spp.)
Cotton,0,Sowing,Low vigor disorder (non-pathogenic)
Cotton,10,Germination,Seedling Damping-Off (Pythium ultimum)
Cotton,10,Germination,Root Rot (Rhizoctonia solani)
Cotton,10,Germination,Fusarium Wilt Early Infection (Fusarium oxysporum)
Cotton,10,Germination,Alternaria Seedling Spot (Alternaria alternata)
Cotton,10,Germination,Aspergillus Seedling Rot (Aspergillus flavus)
Cotton,10,Germination,Bacterial Blight Early Stage (Xanthomonas campestris pv. malvacearum)
Cotton,10,Germination,Black Root Rot Early Stage (Thielaviopsis basicola)
Cotton,10,Germination,Macrophomina Root Infection (Macrophomina phaseolina)
Cotton,10,Germination,Anthracnose (Colletotrichum gossypii)
Cotton,10,Germination,Seed Maggot Damage (Atherigona spp.)
Cotton,10,Germination,Termite Damage (Odontotermes obesus)
Cotton,10,Germination,Cutworm Attack (Agrotis ipsilon)
Cotton,10,Germination,Wireworm Injury (Agriotes spp.)
Cotton,10,Germination,Root-Knot Nematode Infection (Meloidogyne incognita)
Cotton,10,Germination,Soil Crusting
Cotton,10,Germination,Waterlogging Stress
Cotton,10,Germination,Heat Stress
Cotton,10,Germination,Salt Stress
Cotton,10,Germination,Herbicide Injury (Pre-emergence Residue)
Cotton,10,Germination,Low Seed Vigor
Cotton,20,Vegetative Stage,Alternaria Leaf Spot (Alternaria macrospora)
Cotton,20,Vegetative Stage,Cercospora Leaf Spot (Cercospora gossypina)
Cotton,20,Vegetative Stage,Bacterial Leaf Blight (Xanthomonas campestris pv. malvacearum)
Cotton,20,Vegetative Stage,Fusarium Wilt (Fusarium oxysporum f. sp. vasinfectum)
Cotton,20,Vegetative Stage,Verticillium Wilt (Verticillium dahliae)
Cotton,20,Vegetative Stage,Rhizoctonia Leaf Blight (Rhizoctonia solani)
Cotton,20,Vegetative Stage,Powdery Mildew (Leveillula taurica)
Cotton,20,Vegetative Stage,Myrothecium Leaf Spot (Myrothecium roridum)
Cotton,20,Vegetative Stage,Cotton Leaf Curl Virus (CLCuV)
Cotton,20,Vegetative Stage,Cotton Mosaic Virus
Cotton,20,Vegetative Stage,Aphid Infestation (Aphis gossypii)
Cotton,20,Vegetative Stage,Whitefly Infestation (Bemisia tabaci)
Cotton,20,Vegetative Stage,Jassid / Leafhopper (Amrasca biguttula biguttula)
Cotton,20,Vegetative Stage,Thrips (Thrips tabaci)
Cotton,20,Vegetative Stage,Spider Mite (Tetranychus urticae)
Cotton,20,Vegetative Stage,Root-Knot Nematode (Meloidogyne incognita)
Cotton,20,Vegetative Stage,Zinc Deficiency
Cotton,20,Vegetative Stage,Nitrogen Deficiency
Cotton,20,Vegetative Stage,Water Stress (Drought)
Cotton,20,Vegetative Stage,Herbicide Drift Injury
Cotton,70,Flowering,Alternaria Leaf Spot (Alternaria macrospora)
Cotton,70,Flowering,Grey Mildew (Ramularia areola)
Cotton,70,Flowering,Powdery Mildew (Leveillula taurica)
Cotton,70,Flowering,Fusarium Wilt (Fusarium oxysporum f. sp. vasinfectum)
Cotton,70,Flowering,Verticillium Wilt (Verticillium dahliae)
Cotton,70,Flowering,Bacterial Blight (Xanthomonas campestris pv. malvacearum)
Cotton,70,Flowering,Anthracnose (Colletotrichum gossypii)
Cotton,70,Flowering,Myrothecium Leaf Spot (Myrothecium roridum)
Cotton,70,Flowering,Rust (Puccinia schedonnardii)
Cotton,70,Flowering,Cotton Leaf Curl Virus (CLCuV)
Cotton,70,Flowering,Tobacco Streak Virus (TSV)
Cotton,70,Flowering,Whitefly Infestation (Bemisia tabaci)
Cotton,70,Flowering,Aphid Infestation (Aphis gossypii)
Cotton,70,Flowering,Thrips (Thrips tabaci)
Cotton,70,Flowering,Jassid / Leafhopper (Amrasca biguttula biguttula)
Cotton,70,Flowering,Pink Bollworm Early Stage (Pectinophora gossypiella)
Cotton,70,Flowering,Spotted Bollworm (Earias vittella)
Cotton,70,Flowering,Mite Infestation (Tetranychus urticae)
Cotton,70,Flowering,Boron Deficiency
Cotton,70,Flowering,Drought Stress
Cotton,85,Fruiting,Boll Rot (Rhizoctonia solani)
Cotton,85,Fruiting,Boll Rot (Phytophthora parasitica)
Cotton,85,Fruiting,Anthracnose (Colletotrichum gossypii)
Cotton,85,Fruiting,Fusarium Boll Rot (Fusarium spp.)
Cotton,85,Fruiting,Alternaria Boll Spot (Alternaria alternata)
Cotton,85,Fruiting,Aspergillus Boll Rot (Aspergillus flavus)
Cotton,85,Fruiting,Black Boll Rot (Aspergillus niger)
Cotton,85,Fruiting,Myrothecium Boll Rot (Myrothecium roridum)
Cotton,85,Fruiting,Pink Bollworm (Pectinophora gossypiella)
Cotton,85,Fruiting,Spotted Bollworm (Earias vittella)
Cotton,85,Fruiting,American Bollworm (Helicoverpa armigera)
Cotton,85,Fruiting,Tobacco Caterpillar (Spodoptera litura)
Cotton,85,Fruiting,Whitefly (Bemisia tabaci)
Cotton,85,Fruiting,Aphids (Aphis gossypii)
Cotton,85,Fruiting,Mite Infestation (Tetranychus urticae)
Cotton,85,Fruiting,Nematode Damage (Meloidogyne incognita)
Cotton,85,Fruiting,Gray Mildew (Ramularia areola)
Cotton,85,Fruiting,Magnesium Deficiency
Cotton,85,Fruiting,Calcium Deficiency
Cotton,85,Fruiting,Heat Stress
Cotton,110,Maturity,Boll Rot (Rhizoctonia solani)
Cotton,110,Maturity,Fusarium Boll Rot (Fusarium oxysporum)
Cotton,110,Maturity,Aspergillus Boll Rot (Aspergillus flavus)
Cotton,110,Maturity,Black Mold (Aspergillus niger)
Cotton,110,Maturity,Alternaria Leaf Blight (Alternaria macrospora)
Cotton,110,Maturity,Grey Mildew (Ramularia areola)
Cotton,110,Maturity,Powdery Mildew (Leveillula taurica)
Cotton,110,Maturity,Bacterial Blight (Xanthomonas campestris pv. malvacearum)
Cotton,110,Maturity,Anthracnose (Colletotrichum gossypii)
Cotton,110,Maturity,Myrothecium Leaf Spot (Myrothecium roridum)
Cotton,110,Maturity,Verticillium Wilt (Verticillium dahliae)
Cotton,110,Maturity,Pink Bollworm (Pectinophora gossypiella)
Cotton,110,Maturity,Spotted Bollworm (Earias vittella)
Cotton,110,Maturity,American Bollworm (Helicoverpa armigera)
Cotton,110,Maturity,Whitefly (Bemisia tabaci)
Cotton,110,Maturity,Aphids (Aphis gossypii)
Cotton,110,Maturity,Mite Infestation (Tetranychus urticae)
Cotton,110,Maturity,Nutrient Deficiency  Potassium
Cotton,110,Maturity,Moisture Stress
Cotton,110,Maturity,Heat Injury
Cotton,120,Harvest,Cotton Boll Rot (Diplodia gossypina)
Cotton,120,Harvest,Secondary Boll Rot (Macrophomina phaseolina)
Cotton,120,Harvest,Aspergillus Lint Mold (Aspergillus flavus)
Cotton,120,Harvest,Black Mold (Aspergillus niger)
Cotton,120,Harvest,Phoma Boll Rot (Phoma spp.)
Cotton,120,Harvest,Cotton Lint Mildew (Cladosporium herbarum)
Cotton,120,Harvest,Harvest Wet Rot (Pectobacterium carotovorum)
Cotton,120,Harvest,Cotton Seed Mold (Penicillium chrysogenum)
Cotton,120,Harvest,Pink Bollworm Damage (Pectinophora gossypiella)
Cotton,120,Harvest,Spotted Bollworm (Earias vittella)
Cotton,120,Harvest,American Bollworm (Helicoverpa armigera)
Cotton,120,Harvest,Whitefly (Bemisia tabaci)
Cotton,120,Harvest,Aphids (Aphis gossypii)
Cotton,120,Harvest,Red Mite (Tetranychus urticae)
Cotton,120,Harvest,Cotton Lint Staining Disorder
Cotton,120,Harvest,Sunscald on Open Bolls
Cotton,120,Harvest,Moisture-Induced Fiber Weakening
Cotton,120,Harvest,Mechanical Injury Bruising
Cotton,120,Harvest,Premature Boll Cracking
Cotton,120,Harvest,Harvest Delay Damage
Cotton,120,Harvest,Cotton Lint Mold (Aspergillus flavus)
Cotton,120,Harvest,Black Lint Mold (Aspergillus niger)
Cotton,120,Harvest,Blue-Green Storage Mold (Penicillium chrysogenum)
Cotton,120,Harvest,Rhizopus Storage Rot (Rhizopus stolonifer)
Cotton,120,Harvest,Fusarium Seed Rot (Fusarium oxysporum)
Cotton,120,Harvest,Bacterial Wet Rot (Pectobacterium carotovorum)
Cotton,120,Harvest,Stored Seed Blight (Alternaria alternata)
Cotton,120,Harvest,Stored Lint Discoloration (Cladosporium herbarum)
Cotton,120,Harvest,Cotton Seed Weevil (Sitophilus oryzae)
Cotton,120,Harvest,Red Flour Beetle (Tribolium castaneum)
Cotton,120,Harvest,Warehouse Moth (Ephestia cautella)
Cotton,120,Harvest,Hot Spot Heating Damage
Cotton,120,Harvest,Moisture Reabsorption Damage
Cotton,120,Harvest,Bale Compression Injury
Cotton,120,Harvest,Chemical Contamination (Oil/Grease)
Cotton,120,Harvest,Dust Contamination
Cotton,120,Harvest,Fiber Oxidation
Cotton,120,Harvest,Long-Term Fiber Dehydration
Cotton,120,Harvest,Bale Fungal Fermentation
Cotton,120,Harvest,Seed Rancidity
Chickpea,0,Sowing,Seed Rot (Pythium aphanidermatum)
Chickpea,0,Sowing,Pre-emergence Damping-off (Rhizoctonia solani)
Chickpea,0,Sowing,Pre-emergence Damping-off (Fusarium oxysporum)
Chickpea,0,Sowing,Collar Rot (Sclerotium rolfsii)
Chickpea,0,Sowing,Aspergillus Seed Rot (Aspergillus flavus)
Chickpea,0,Sowing,Penicillium Seed Decay (Penicillium spp.)
Chickpea,0,Sowing,Macrophomina Seedling Rot (Macrophomina phaseolina)
Chickpea,0,Sowing,Botrytis Seed Mould (Botrytis cinerea)
Chickpea,0,Sowing,Phytophthora Seed Rot (Phytophthora medicaginis)
Chickpea,0,Sowing,Bacterial Seed Rot (Pseudomonas fluorescens)
Chickpea,0,Sowing,Storage Mold Carryover (Cladosporium cladosporioides)
Chickpea,0,Sowing,Insect-Damaged Seed (Bruchid Beetle) (Callosobruchus chinensis)
Chickpea,0,Sowing,Seed Desiccation Injury
Chickpea,0,Sowing,Seed Waterlogging Damage
Chickpea,0,Sowing,Soil Salinity Stress
Chickpea,0,Sowing,Seed Cold Injury
Chickpea,0,Sowing,Seed Chemical Injury (Fertilizer Burn)
Chickpea,0,Sowing,Herbicide Carryover Damage
Chickpea,0,Sowing,Poor Seed Viability
Chickpea,0,Sowing,Mechanical Seed Damage
Chickpea,10,Germination,Post-emergence Damping-off (Pythium aphanidermatum)
Chickpea,10,Germination,Seedling Blight (Rhizoctonia solani)
Chickpea,10,Germination,Fusarium Seedling Wilt (Fusarium oxysporum f. sp. ciceri)
Chickpea,10,Germination,Macrophomina Seedling Rot (Macrophomina phaseolina)
Chickpea,10,Germination,Alternaria Seedling Blight (Alternaria alternata)
Chickpea,10,Germination,Botrytis Seedling Blight (Botrytis cinerea)
Chickpea,10,Germination,Phytophthora Seedling Rot (Phytophthora medicaginis)
Chickpea,10,Germination,Seedling Soft Rot (Erwinia carotovora)
Chickpea,10,Germination,Bacterial Seedling Blight (Pseudomonas syringae)
Chickpea,10,Germination,Early Root Rot (Fusarium solani)
Chickpea,10,Germination,Root Lesion Nematode Damage (Pratylenchus thornei)
Chickpea,10,Germination,Early Cutworm Damage (Agrotis ipsilon)
Chickpea,10,Germination,Aphid Transmission Injury (Aphis craccivora)
Chickpea,10,Germination,Low Temperature Stress
Chickpea,10,Germination,Heat Injury
Chickpea,10,Germination,Soil Crusting
Chickpea,10,Germination,Herbicide Injury (Imidazolinone Residue)
Chickpea,10,Germination,Poor Soil Aeration
Chickpea,10,Germination,Nutrient Deficiency  Phosphorus
Chickpea,10,Germination,Mechanical Damage
Chickpea,20,Vegetative Stage,Ascochyta Blight (Ascochyta rabiei)
Chickpea,20,Vegetative Stage,Fusarium Wilt (Fusarium oxysporum f. sp. ciceris)
Chickpea,20,Vegetative Stage,Collar Rot (Sclerotium rolfsii)
Chickpea,20,Vegetative Stage,Alternaria Leaf Spot (Alternaria alternata)
Chickpea,20,Vegetative Stage,Rust (Uromyces ciceris-arietini)
Chickpea,20,Vegetative Stage,Botrytis Grey Mold (Botrytis cinerea)
Chickpea,20,Vegetative Stage,Macrophomina Charcoal Rot (Macrophomina phaseolina)
Chickpea,20,Vegetative Stage,Rhizoctonia Root Rot (Rhizoctonia solani)
Chickpea,20,Vegetative Stage,Phytophthora Root Rot (Phytophthora medicaginis)
Chickpea,20,Vegetative Stage,Bacterial Blight (Xanthomonas campestris pv. cassiae)
Chickpea,20,Vegetative Stage,Bacterial Leaf Spot (Pseudomonas syringae)
Chickpea,20,Vegetative Stage,Root-Knot Nematode (Meloidogyne incognita)
Chickpea,20,Vegetative Stage,Root Lesion Nematode (Pratylenchus thornei)
Chickpea,20,Vegetative Stage,Pod Borer Early Feeding (Helicoverpa armigera)
Chickpea,20,Vegetative Stage,Aphid Infestation (Aphis craccivora)
Chickpea,20,Vegetative Stage,Thrips Damage (Caliothrips indicus)
Chickpea,20,Vegetative Stage,Nutrient Deficiency  Nitrogen
Chickpea,20,Vegetative Stage,Nutrient Deficiency  Zinc
Chickpea,20,Vegetative Stage,"Herbicide Injury (2,4-D Drift)"
Chickpea,20,Vegetative Stage,Waterlogging Stress
Chickpea,70,Flowering,Ascochyta Blight (Ascochyta rabiei)
Chickpea,70,Flowering,Botrytis Grey Mold (Botrytis cinerea)
Chickpea,70,Flowering,Fusarium Wilt (Fusarium oxysporum f. sp. ciceris)
Chickpea,70,Flowering,Collar Rot (Sclerotium rolfsii)
Chickpea,70,Flowering,Stem Rot (Macrophomina phaseolina)
Chickpea,70,Flowering,Alternaria Leaf Spot (Alternaria alternata)
Chickpea,70,Flowering,Rust (Uromyces ciceris-arietini)
Chickpea,70,Flowering,Phytophthora Root Rot (Phytophthora medicaginis)
Chickpea,70,Flowering,Bacterial Blight (Xanthomonas campestris pv. cassiae)
Chickpea,70,Flowering,Bacterial Leaf Spot (Pseudomonas syringae)
Chickpea,70,Flowering,Pod Borer (Helicoverpa armigera)
Chickpea,70,Flowering,Aphid Infestation (Aphis craccivora)
Chickpea,70,Flowering,Thrips Damage (Caliothrips indicus)
Chickpea,70,Flowering,Mite Injury (Tetranychus urticae)
Chickpea,70,Flowering,Nutrient Deficiency  Boron
Chickpea,70,Flowering,Nutrient Deficiency  Potassium
Chickpea,70,Flowering,Herbicide Drift Injury (Glyphosate)
Chickpea,70,Flowering,Drought Stress
Chickpea,70,Flowering,Heat Stress
Chickpea,70,Flowering,Waterlogging Stress
